Origin,DRegion,Destination,Tot Immigrants
Afghanistan,ASIA,Iran (Islamic Republic of),9216348
Afghanistan,ASIA,Pakistan,6136811
Afghanistan,ASIA,Saudi Arabia,1317707
Afghanistan,EUROPE,Germany,340400
Afghanistan,NORTHERN AMERICA,United States of America,254773
Bangladesh,ASIA,India,13183446
Bangladesh,ASIA,Saudi Arabia,3611933
Bangladesh,ASIA,United Arab Emirates,3377469
Bangladesh,ASIA,Malaysia,1249163
Bangladesh,ASIA,Kuwait,1164539
China,ASIA,"China, Hong Kong SAR",8982233
China,NORTHERN AMERICA,United States of America,8298810
China,ASIA,Japan,2788820
China,NORTHERN AMERICA,Canada,2516940
China,ASIA,Republic of Korea,1956331
Egypt,ASIA,United Arab Emirates,2780063
Egypt,ASIA,Saudi Arabia,2710183
Egypt,ASIA,Kuwait,1107108
Egypt,NORTHERN AMERICA,United States of America,626221
Egypt,ASIA,Jordan,584967
Germany,NORTHERN AMERICA,United States of America,2612623
Germany,EUROPE,Switzerland,1319263
Germany,EUROPE,United Kingdom,1135553
Germany,ASIA,Turkey,1132476
Germany,EUROPE,France,913533
India,ASIA,United Arab Emirates,10695231
India,ASIA,Pakistan,7965782
India,NORTHERN AMERICA,United States of America,7716612
India,ASIA,Saudi Arabia,7065256
India,ASIA,Kuwait,3378861
Indonesia,ASIA,Saudi Arabia,4813388
Indonesia,ASIA,Malaysia,3962266
Indonesia,ASIA,United Arab Emirates,985718
Indonesia,ASIA,Bangladesh,576392
Indonesia,EUROPE,Netherlands,561126
Italy,NORTHERN AMERICA,United States of America,1610047
Italy,EUROPE,Germany,1510849
Italy,EUROPE,France,1460770
Italy,NORTHERN AMERICA,Canada,1065805
Italy,EUROPE,Switzerland,963698
Kazakhstan,EUROPE,Russian Federation,10203137
Kazakhstan,EUROPE,Germany,3371159
Kazakhstan,EUROPE,Ukraine,900364
Kazakhstan,EUROPE,Belarus,281792
Kazakhstan,EUROPE,Greece,108041
Mexico,NORTHERN AMERICA,United States of America,47738668
Mexico,NORTHERN AMERICA,Canada,289855
Mexico,EUROPE,Spain,178299
Mexico,LA AND CARIBBEAN,Guatemala,64200
Mexico,EUROPE,Germany,59245
Pakistan,ASIA,India,4599050
Pakistan,ASIA,Saudi Arabia,4194627
Pakistan,ASIA,United Arab Emirates,3084132
Pakistan,EUROPE,United Kingdom,1894315
Pakistan,NORTHERN AMERICA,United States of America,1293151
Philippines,NORTHERN AMERICA,United States of America,7525424
Philippines,NORTHERN AMERICA,Canada,1842543
Philippines,ASIA,Saudi Arabia,1815821
Philippines,ASIA,United Arab Emirates,1733296
Philippines,ASIA,Japan,876832
Poland,EUROPE,Germany,6283106
Poland,EUROPE,United Kingdom,2660666
Poland,NORTHERN AMERICA,United States of America,1895490
Poland,NORTHERN AMERICA,Canada,659865
Poland,EUROPE,Ireland,479616
Romania,EUROPE,Italy,3652722
Romania,EUROPE,Spain,2318393
Romania,EUROPE,Germany,1975017
Romania,EUROPE,Hungary,807465
Romania,NORTHERN AMERICA,United States of America,666402
Russian Federation,EUROPE,Ukraine,13274807
Russian Federation,ASIA,Kazakhstan,9098079
Russian Federation,EUROPE,Germany,3758492
Russian Federation,ASIA,Uzbekistan,3670342
Russian Federation,EUROPE,Belarus,2748608
State of Palestine,ASIA,Jordan,7388580
State of Palestine,ASIA,Syrian Arab Republic,2185692
State of Palestine,ASIA,Lebanon,2052147
State of Palestine,AFRICA,Libya,1064457
State of Palestine,AFRICA,Egypt,522099
Syrian Arab Republic,ASIA,Turkey,6050496
Syrian Arab Republic,ASIA,Lebanon,2483868
Syrian Arab Republic,ASIA,Saudi Arabia,2318276
Syrian Arab Republic,ASIA,Jordan,1567023
Syrian Arab Republic,ASIA,Iraq,521451
Turkey,EUROPE,Germany,5881061
Turkey,EUROPE,France,1109176
Turkey,NORTHERN AMERICA,United States of America,926062
Turkey,EUROPE,Netherlands,801900
Turkey,EUROPE,Austria,680767
Ukraine,EUROPE,Russian Federation,12814442
Ukraine,NORTHERN AMERICA,United States of America,1366382
Ukraine,ASIA,Kazakhstan,1285308
Ukraine,EUROPE,Belarus,909274
Ukraine,EUROPE,Poland,886185
United Kingdom,OCEANIA,Australia,4947202
United Kingdom,NORTHERN AMERICA,United States of America,2889784
United Kingdom,NORTHERN AMERICA,Canada,2321347
United Kingdom,EUROPE,Spain,1156417
United Kingdom,OCEANIA,New Zealand,1021036
