Country Name,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,"Personal remittances, received (% of GDP)",0.035175564,0.042735879,0.198675497,0.246235246,0.362173038,0.207992522,0.208150745,0.191756667,0.245508158,0.281735779,0.300328912,0.282985965,0.27736605
Aruba,"Personal remittances, received (current US$)",819846.0963,1036166.002,5195530.726,6759776.536,9050279.33,4972067.039,5307262.57,4860335.196,6337950.838,7465211.173,8083713.408,7490432.961,7490432.875
Aruba,GDP growth (annual %),1.214348832,1.050606636,1.800225854,-0.090707754,-10.51974761,-3.685029581,3.44605475,-1.369863014,4.198232323,0.84822781,-0.450585761,-0.211225106,1.330511037
Aruba,GDP (current US$),2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2581564246,2649720670,2691620112,2646927374,2700558659
Afghanistan,"Personal remittances, received (% of GDP)",,,,0.885730581,1.131073088,2.183646212,1.006030887,1.096991812,1.626497905,1.236852768,1.751257176,3.369402857,3.636681422
Afghanistan,"Personal remittances, received (current US$)",,,,89540435.95,140695166.3,346251493.5,179116561.4,219416087.5,334425114,253367721.6,348624717.3,652405421.8,734310164.3
Afghanistan,GDP growth (annual %),11.22971484,5.357403248,13.82631954,3.924983823,21.39052841,14.36244146,0.426354793,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.665292046
Afghanistan,GDP (current US$),6209140044,6971286732,9747886105,10109218068,12439087077,15856574731,17804280538,20001615789,20561054090,20484873230,19907111419,19362642267,20191764940
Angola,"Personal remittances, received (% of GDP)",,,,0.092709835,0.000230927,0.021446474,0.000183157,0.031509531,0.026799391,0.021254994,0.009565679,0.003943727,0.001161277
Angola,"Personal remittances, received (current US$)",,,,82084000,162358.5,17972037,204751.1,40348853.99,36637411.34,30971119.27,11114711.6,3988048.38,1418195.84
Angola,GDP growth (annual %),15.02891532,11.54768318,14.01001824,11.16613833,0.858712615,4.859219584,3.471981372,8.542147337,4.954590478,4.822625549,0.943575613,-2.58009724,-0.147207426
Angola,GDP (current US$),36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,1.1179E+11,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11
Albania,"Personal remittances, received (% of GDP)",16.01704173,15.28165496,13.74895381,14.48274971,14.24859395,13.30537273,12.03273462,11.52847076,10.03354631,10.73865163,11.33185786,11.00844223,10.06423899
Albania,"Personal remittances, received (current US$)",1289704316,1359467325,1468020000,1865574188,1716130304,1586925580,1551123786,1420282798,1281914066,1420535453,1290350891,1305750161,1310873388
Albania,GDP growth (annual %),5.529914809,5.900083957,5.979982036,7.49996956,3.349993901,3.706880684,2.545405394,1.417525992,1.001987926,1.770000297,2.230000179,3.349999688,3.836619656
Albania,GDP (current US$),8052075642,8896073938,10677321490,12881353508,12044208086,11926953214,12890866743,12319784886,12776280961,13228247844,11386931490,11861352705,13025062196
Andorra,"Personal remittances, received (% of GDP)",,,,,,,,,,,,,
Andorra,"Personal remittances, received (current US$)",,,,,,,,,,,,,
Andorra,GDP growth (annual %),7.396982715,4.536353119,0.040011067,-8.590003787,-3.69065351,-5.358825775,-4.646543052,-1.615218183,0.351645002,2.277683153,0.842203518,1.889124387,1.724022237
Andorra,GDP (current US$),3255789081,3543256806,4016972351,4007353157,3660530703,3355695364,3442062830,3164615187,3281585236,3350736367,2811489409,2877311947,3013387424
Arab World,"Personal remittances, received (% of GDP)",2.642710154,2.462099881,,,2.536566748,2.362328543,1.935892899,2.073112967,2.065596038,2.265643283,2.392932794,2.41784908,2.684780487
Arab World,"Personal remittances, received (current US$)",22640971319,24459692899,29515033716,33883862249,31754287807,37780561643,40567261800,47556161314,48972748689,54708467874,50979518749,50310591143,56875650955
Arab World,GDP growth (annual %),5.716351856,6.49629421,4.571479063,5.819174968,0.428316836,4.77207865,3.629086449,6.656678452,3.166151438,2.455200528,3.307618148,3.247325157,0.999881845
Arab World,GDP (current US$),1.18514E+12,1.40465E+12,1.63821E+12,2.07882E+12,1.79636E+12,2.11006E+12,2.50183E+12,2.78701E+12,2.86727E+12,2.90843E+12,2.55783E+12,2.50604E+12,2.58868E+12
United Arab Emirates,"Personal remittances, received (% of GDP)",,,,,,,,,,,,,
United Arab Emirates,"Personal remittances, received (current US$)",,,,,,,,,,,,,
United Arab Emirates,GDP growth (annual %),4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602809961,6.930271629,4.484626085,5.053345825,4.398696682,5.064701529,2.988441821,0.790400388
United Arab Emirates,GDP (current US$),1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.89787E+11,3.50666E+11,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.82575E+11
Argentina,"Personal remittances, received (% of GDP)",0.217417891,0.232474118,0.210933765,0.195029381,0.188764794,0.152091368,0.131540527,0.105778682,0.096916675,0.096015201,0.083133102,0.070234441,0.069940895
Argentina,"Personal remittances, received (current US$)",432090000,540635441.9,606498926.5,705144403.4,628542376.1,644300740.1,697379575.1,577532962.1,535004409.4,505346891.7,494433532.1,391579047.7,449507238.4
Argentina,GDP growth (annual %),8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.668590379
Argentina,GDP (current US$),1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.42696E+11
Armenia,"Personal remittances, received (% of GDP)",18.67639576,18.31281893,17.86140781,16.32704918,16.64916469,18.02684075,17.73422351,18.03301895,19.71137504,17.90444031,14.13274122,13.10746416,13.3477448
Armenia,"Personal remittances, received (current US$)",915231161.8,1169173063,1644375091,1904067123,1439809232,1669336819,1798624692,1914983997,2192193827,2078618315,1491475903,1382330887,1538655752
Armenia,GDP growth (annual %),13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999998,4.699999999,7.200000004,3.3,3.600000001,3.199999999,0.2,7.500000001
Armenia,GDP (current US$),4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566
American Samoa,"Personal remittances, received (% of GDP)",,,,,,,,,,,,,
American Samoa,"Personal remittances, received (current US$)",,,,,,,,,,,,,
