Year,"Major area, region, country or area of destination",0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
2005,WORLD,"5,220,407","6,587,225","8,089,714","10,533,092","14,572,313","18,825,500","19,814,976","19,228,019","17,625,859","15,439,137","13,200,945","10,794,424","8,854,714","6,801,624","5,739,238","9,203,133","190,531,600","2,677,876","3,372,534","4,161,286","5,440,966","7,555,518","9,941,882","10,568,003","10,256,641","9,356,980","8,060,118","6,694,416","5,380,523","4,286,919","3,193,225","2,560,356","3,768,854","97,276,738","2,542,531","3,214,691","3,928,428","5,092,126","7,016,795","8,883,618","9,246,973","8,971,378","8,268,879","7,379,019","6,506,529","5,413,901","4,567,795","3,608,399","3,178,882","5,434,279","93,254,862"
2005,More developed regions,"1,382,349","2,745,916","4,111,238","6,001,376","8,277,213","10,907,517","11,866,650","11,969,113","11,335,320","10,307,838","8,993,760","7,419,376","6,137,708","4,662,234","3,940,746","6,236,418","116,295,565","704,043","1,405,765","2,131,068","3,128,932","4,236,103","5,520,459","5,978,801","6,019,202","5,679,410","5,075,241","4,313,941","3,547,807","2,873,442","2,123,549","1,711,999","2,437,251","56,887,391","678,306","1,340,151","1,980,170","2,872,444","4,041,110","5,387,058","5,887,849","5,949,911","5,655,910","5,232,597","4,679,819","3,871,569","3,264,266","2,538,685","2,228,747","3,799,167","59,408,174"
2005,Less developed regions,"3,838,058","3,841,309","3,978,476","4,531,716","6,295,100","7,917,983","7,948,326","7,258,906","6,290,539","5,131,299","4,207,185","3,375,048","2,717,006","2,139,390","1,798,492","2,966,715","74,236,035","1,973,833","1,966,769","2,030,218","2,312,034","3,319,415","4,421,423","4,589,202","4,237,439","3,677,570","2,984,877","2,380,475","1,832,716","1,413,477","1,069,676","848,357","1,331,603","40,389,347","1,864,225","1,874,540","1,948,258","2,219,682","2,975,685","3,496,560","3,359,124","3,021,467","2,612,969","2,146,422","1,826,710","1,542,332","1,303,529","1,069,714","950,135","1,635,112","33,846,688"
2005,Least developed countries,"756,002","814,404","861,492","916,197","1,012,851","1,068,560","979,265","832,727","669,093","510,887","394,256","313,235","237,263","176,525","124,418","135,871","9,803,046","383,436","411,901","439,164","453,478","496,798","530,108","498,962","436,702","350,631","270,084","205,958","164,047","125,462","92,254","63,316","67,734","4,990,035","372,566","402,503","422,328","462,719","516,053","538,452","480,303","396,025","318,462","240,803","188,298","149,188","111,801","84,271","61,102","68,137","4,813,011"
2005,"Less developed regions, excluding least developed countries","3,082,611","3,027,881","3,118,136","3,617,005","5,285,038","6,854,254","6,974,511","6,431,719","5,626,986","4,625,390","3,816,832","3,065,189","2,482,294","1,964,753","1,675,719","2,834,482","64,483,287","1,590,671","1,555,356","1,591,632","1,859,296","2,824,021","3,893,836","4,093,150","3,803,764","3,329,985","2,717,486","2,176,593","1,670,429","1,289,333","978,422","785,912","1,265,722","35,425,871","1,491,940","1,472,525","1,526,504","1,757,709","2,461,017","2,960,418","2,881,361","2,627,955","2,297,001","1,907,904","1,640,239","1,394,760","1,192,961","986,331","889,807","1,568,760","29,057,416"
2005,High-income countries,"2,207,703","3,450,835","4,467,549","5,893,538","8,599,424","12,088,420","13,103,724","12,713,595","11,405,190","9,896,528","8,329,265","6,654,690","5,451,380","4,224,697","3,548,779","5,750,739","117,786,056","1,141,480","1,781,375","2,326,381","3,101,552","4,515,382","6,478,460","7,077,449","6,824,040","6,079,895","5,158,025","4,185,643","3,297,716","2,634,625","1,986,004","1,602,685","2,305,498","60,496,210","1,066,223","1,669,460","2,141,168","2,791,986","4,084,042","5,609,960","6,026,275","5,889,555","5,325,295","4,738,503","4,143,622","3,356,974","2,816,755","2,238,693","1,946,094","3,445,241","57,289,846"
2005,Middle-income countries,"2,421,554","2,462,091","2,917,800","3,899,283","5,178,676","5,890,895","5,925,436","5,822,604","5,640,164","5,090,905","4,515,291","3,857,775","3,190,289","2,430,047","2,088,301","3,330,350","64,661,461","1,237,874","1,250,262","1,479,470","1,979,024","2,658,571","3,049,198","3,096,786","3,078,295","2,976,133","2,666,552","2,324,101","1,936,468","1,540,043","1,131,048","906,316","1,403,390","32,713,531","1,183,680","1,211,829","1,438,330","1,920,259","2,520,105","2,841,697","2,828,650","2,744,309","2,664,031","2,424,353","2,191,190","1,921,307","1,650,246","1,298,999","1,181,985","1,926,960","31,947,930"
2005,Upper-middle-income countries,"1,079,975","1,179,044","1,581,699","2,247,846","3,174,277","3,518,104","3,410,275","3,246,885","3,011,545","2,763,316","2,507,025","2,152,044","1,820,468","1,306,459","1,118,507","1,695,948","35,813,417","554,390","605,252","800,791","1,145,235","1,647,915","1,865,686","1,821,181","1,733,897","1,600,000","1,448,663","1,286,767","1,071,365","871,948","603,237","479,526","685,619","18,221,472","525,585","573,792","780,908","1,102,611","1,526,362","1,652,418","1,589,094","1,512,988","1,411,545","1,314,653","1,220,258","1,080,679","948,520","703,222","638,981","1,010,329","17,591,945"
2005,Lower-middle-income countries,"1,341,579","1,283,047","1,336,101","1,651,437","2,004,399","2,372,791","2,515,161","2,575,719","2,628,619","2,327,589","2,008,266","1,705,731","1,369,821","1,123,588","969,794","1,634,402","28,848,044","683,484","645,010","678,679","833,789","1,010,656","1,183,512","1,275,605","1,344,398","1,376,133","1,217,889","1,037,334","865,103","668,095","527,811","426,790","717,771","14,492,059","658,095","638,037","657,422","817,648","993,743","1,189,279","1,239,556","1,231,321","1,252,486","1,109,700","970,932","840,628","701,726","595,777","543,004","916,631","14,355,985"
2005,Low-income countries,"573,574","644,176","663,986","696,030","754,477","800,033","734,617","641,401","536,826","416,359","328,925","262,505","199,624","138,327","97,141","116,324","7,604,325","289,584","325,635","334,754","338,455","362,688","392,645","369,701","330,280","280,246","218,701","171,540","136,897","105,444","71,632","48,765","57,528","3,834,495","283,990","318,541","329,232","357,575","391,789","407,388","364,916","311,121","256,580","197,658","157,385","125,608","94,180","66,695","48,376","58,796","3,769,830"
