Year,Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C�te d'Ivoire,Croatia,Cuba,Cura�ao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R�union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2005,WORLD,"3,826,255","965,066","1,588,723","2,678","5,762","680,405","3,058","37,506","813,610","899,820","13,036","428,411","493,066","1,447,059","34,753","52,484","5,765,158","93,641","1,584,067","438,642","51,850","490,875","14,932","117,860","544,436","1,490,861","30,883","1,218,233","5,869","44,811","909,442","1,312,349","616,738","142,011","672,542","217,615","1,187,046","6,367","1,268","131,192","210,019","14,847","539,059","7,242,306","804,649","115,397","1,880,422","96,141","165,547","19,573","118,544","695,065","834,830","1,160,652","67,407","153,938","608,499","86,234","1,079,545","225,878","12,207","64,097","1,023,893","988,017","1,900,048","1,118,900","67,673","289,183","150,507","521,088","12,530","1,098","156,682","302,910","1,694,057","3,871","2,751","41,038","57,473","885,995","3,585,342","616,174","9,666","874,489","14,765","64,758","9,108","2,508","736,531","370,909","82,908","393,675","971,633",113,"449,102","466,444","28,803","9,649,626","2,714,351","889,308","1,445,446","771,110","8,511","317,081","2,739,747","906,599","720,120","433,828","3,718,926","344,121","4,043","126,263","653,216","894,783","271,278","612,261","144,122","368,417","98,964","2,905","412,811","45,397","147,749","224,606","1,380,159","1,757","792,284","100,308","6,631","14,610","99,141","127,711","6,471","10,816,544","18,340","18,977","42,328","148,193","15,825","2,376,184","559,674","1,788,146","59,385","1,898","1,125,756","801,661","5,323","555,519","436,584","285,366","782,992","5,304","2,730","174,988","18,058","3,896,494","3,785","131,870","4,400","544,868","986,198","3,700,591","2,907,295","1,750,702","1,641,930","17,760","2,038,346","715,928","2,529","2,106,961","10,385,025","287,089","3,517","33,925","46,981",428,"55,808","99,245","2,907","29,430","177,109","462,698","927,661","9,776","147,341","226,922","23,107","273,559","119,913","3,046","1,150,483","618,026","243,075","1,121,066","1,136,550","3,047,671","1,175,018","252,127","40,531","270,492","501,091","861,759","544,945","459,339","631,993","94,995","365,019","2,070","48,558","323,024","572,919","2,693,172","229,241","1,236","2,927","557,486","5,567,494","105,041","4,140,641","238,881","2,285,444","3,771","297,320","1,752,804","7,444","437,280","2,084,889","7,437","131,088","630,975","178,057","478,835"
2005,More developed regions,"303,283","960,445","1,516,394",770,"5,710","228,190","1,040","28,527","526,909","688,107","7,504","360,058","459,241","955,573","33,068","8,275","453,648","87,958","1,446,795","409,337","47,325","24,466","14,784","1,979","188,085","1,487,927","4,678","935,095",463,"11,130","418,246","20,281","16,644","126,342","270,571","134,273","1,094,865","4,496","1,178","16,099","8,677","14,776","275,711","3,786,857","610,539","19,554","1,018,219","30,744","82,106","19,515","92,401","128,007","831,101","1,091,206","61,799","140,994","600,719","24,327","135,665","214,660","7,987","43,289","903,952","914,691","426,557","1,068,594","18,583","74,574","147,534","220,124","12,528","1,070","154,179","297,674","1,235,103",64,650,"19,898","42,248","756,570","2,963,232","287,254","9,599","777,471","14,333","49,883",464,53,"671,078","57,782","34,930","346,916","631,768",111,"401,810","444,788","28,400","2,885,075","378,188","784,227","489,659","761,002","8,510","221,103","2,393,618","879,790","550,700","100,366","3,633,127","248,974","1,502","51,675","623,267","275,125","262,127","446,992","1,019","71,358","55,630","2,780","396,430","45,074","116,139","15,939","276,026",729,"74,276","100,007","6,197",425,"23,289","117,010",..,"10,759,169","7,095","18,645","33,011","147,948","13,076","2,187,183","85,999","84,648","4,418",622,"75,686","728,659","1,496","534,678","253,651","8,030","463,862","5,229",164,"155,322","5,128","1,011,075",110,"115,416","3,142","51,748","661,651","2,636,831","2,775,058","1,466,567","1,618,728","4,570","1,800,776","679,507",342,"1,960,655","6,485,406","20,456","2,882","21,595","33,326",341,"38,217","81,833","2,879","17,013","77,196","228,491","922,987","8,779","65,373","134,761","22,039","272,668","118,232","2,032","256,506","497,254",2,"800,039","524,431","45,820","89,471","223,865","2,296","257,038","467,037","207,624","483,794","318,161","456,406","14,927","42,283","1,919","45,640","306,960","531,263","2,561,399","218,595",252,"1,817","99,016","4,921,515","33,063","3,692,925","83,763","1,019,152",206,"136,706","1,357,729","2,066","345,081","1,845,839",14,125,"48,567","48,778","152,392"
2005,Less developed regions,"3,522,972","4,621","72,329","1,908",52,"452,215","2,018","8,979","286,701","211,713","5,532","68,353","33,825","491,486","1,685","44,209","5,311,510","5,683","137,272","29,305","4,525","466,409",148,"115,881","356,351","2,934","26,205","283,138","5,406","33,681","491,196","1,292,068","600,094","15,669","401,971","83,342","92,181","1,871",90,"115,093","201,342",71,"263,348","3,455,449","194,110","95,843","862,203","65,397","83,441",58,"26,143","567,058","3,729","69,446","5,608","12,944","7,780","61,907","943,880","11,218","4,220","20,808","119,941","73,326","1,473,491","50,306","49,090","214,609","2,973","300,964",2,28,"2,503","5,236","458,954","3,807","2,101","21,140","15,225","129,425","622,110","328,920",67,"97,018",432,"14,875","8,644","2,455","65,453","313,127","47,978","46,759","339,865",2,"47,292","21,656",403,"6,764,551","2,336,163","105,081","955,787","10,108",1,"95,978","346,129","26,809","169,420","333,462","85,799","95,147","2,541","74,588","29,949","619,658","9,151","165,269","143,103","297,059","43,334",125,"16,381",323,"31,610","208,667","1,104,133","1,028","718,008",301,434,"14,185","75,852","10,701","6,471","57,375","11,245",332,"9,317",245,"2,749","189,001","473,675","1,703,498","54,967","1,276","1,050,070","73,002","3,827","20,841","182,933","277,336","319,130",75,"2,566","19,666","12,930","2,885,419","3,675","16,454","1,258","493,120","324,547","1,063,760","132,237","284,135","23,202","13,190","237,570","36,421","2,187","146,306","3,899,619","266,633",635,"12,330","13,655",87,"17,591","17,412",28,"12,417","99,913","234,207","4,674",997,"81,968","92,161","1,068",891,"1,681","1,014","893,977","120,772","243,073","321,027","612,119","3,001,851","1,085,547","28,262","38,235","13,454","34,054","654,135","61,151","141,178","175,587","80,068","322,736",151,"2,918","16,064","41,656","131,773","10,646",984,"1,110","458,470","645,979","71,978","447,716","155,118","1,266,292","3,565","160,614","395,075","5,378","92,199","239,050","7,423","130,963","582,408","129,279","326,443"
2005,Least developed countries,..,..,"7,843",..,..,"363,024",..,..,809,..,..,"1,839",296,..,..,"24,592","1,927",..,..,725,..,"79,000",..,"108,240",..,..,555,"13,198",..,..,..,"60,701","594,112","14,691","17,134","29,655","2,484",..,..,"85,640","94,332",..,532,"216,872",179,..,"1,322","9,602","58,844",..,437,"537,439",..,"2,403",..,8,..,226,"680,259",215,"2,740",..,"3,842",..,"33,891",..,281,"197,916",..,"120,795",..,..,776,..,"46,712",..,..,"18,735","14,691",..,"4,243","88,275",..,42,..,..,..,..,..,"202,431","43,104",..,..,..,..,..,..,"631,579","129,286",..,"6,826",12,..,..,"3,192",..,"12,393",..,..,"81,422",629,31,..,"72,278",..,"4,932","7,029","167,047","3,855",..,..,..,"10,142","72,358","190,987",..,"170,699",..,..,..,"63,956",181,..,489,..,..,..,..,..,"3,802","94,305","233,045","1,417","1,250","25,629",454,273,592,..,"119,885","121,316",..,..,"11,669",..,"45,763",..,..,856,..,561,"1,111",..,"16,264","2,468",..,723,..,898,..,"1,325","251,265",..,..,..,..,..,16,..,"5,440","1,784","179,497",..,345,"73,998","8,592",..,..,50,75,"503,372","36,080","169,457","2,852",175,"3,541","684,958",..,119,520,854,"2,736","28,460",..,"58,413",..,"62,753",..,27,..,245,8,..,..,295,"161,926",50,68,"33,721","104,759","48,760",..,458,"1,422",38,"4,007","89,248",..,..,325,"60,624","72,536"
2005,"Less developed regions, excluding least developed countries","3,522,972","4,621","64,486","1,908",52,"89,191","2,018","8,979","285,892","211,713","5,532","66,514","33,529","491,486","1,685","19,617","5,309,583","5,683","137,272","28,580","4,525","387,409",148,"7,641","356,351","2,934","25,650","269,940","5,406","33,681","491,196","1,231,367","5,982",978,"384,837","53,687","89,697","1,871",90,"29,453","107,010",71,"262,816","3,238,577","193,931","95,843","860,881","55,795","24,597",58,"25,706","29,619","3,729","67,043","5,608","12,936","7,780","61,681","263,621","11,003","1,480","20,808","116,099","73,326","1,439,600","50,306","48,809","16,693","2,973","180,169",2,28,"1,727","5,236","412,242","3,807","2,101","2,405",534,"129,425","617,867","240,645",67,"96,976",432,"14,875","8,644","2,455","65,453","110,696","4,874","46,759","339,865",2,"47,292","21,656",403,"6,132,972","2,206,877","105,081","948,961","10,096",1,"95,978","342,937","26,809","157,027","333,462","85,799","13,725","1,912","74,557","29,949","547,380","9,151","160,337","136,074","130,012","39,479",125,"16,381",323,"21,468","136,309","913,146","1,028","547,309",301,434,"14,185","11,896","10,520","6,471","56,886","11,245",332,"9,317",245,"2,749","185,199","379,370","1,470,453","53,550",26,"1,024,441","72,548","3,554","20,249","182,933","157,451","197,814",75,"2,566","7,997","12,930","2,839,656","3,675","16,454",402,"493,120","323,986","1,062,649","132,237","267,871","20,734","13,190","236,847","36,421","1,289","146,306","3,898,294","15,368",635,"12,330","13,655",87,"17,591","17,396",28,"6,977","98,129","54,710","4,674",652,"7,970","83,569","1,068",891,"1,631",939,"390,605","84,692","73,616","318,175","611,944","2,998,310","400,589","28,262","38,116","12,934","33,200","651,399","32,691","141,178","117,174","80,068","259,983",151,"2,891","16,064","41,411","131,765","10,646",984,815,"296,544","645,929","71,910","413,995","50,359","1,217,532","3,565","160,156","393,653","5,340","88,192","149,802","7,423","130,963","582,083","68,655","253,907"
2005,High-income countries,"516,632","888,122","1,553,535",229,"5,717","227,773","2,109","34,696","648,285","128,830","8,635","381,084","450,441","61,412","33,599","10,352","1,936,794","90,897","363,203","413,389","47,721","24,242","14,877","1,961","207,095","711,461","4,565","964,369","3,738","11,132","409,436","19,754","16,495","126,291","275,656","133,898","1,131,540","5,237","1,192","16,001","14,346","14,791","280,744","6,584,778","681,324","98,453","1,043,401","30,695","81,648","19,517","93,599","127,914","515,432","1,109,682","64,576","139,996","585,664","14,738","136,119","214,655","7,987","57,181","984,358","930,842","1,500,614","1,069,787","18,515","87,262","70,630","374,815","12,530","1,072","154,221","294,190","1,327,907",71,"2,629","19,893","42,242","165,031","2,812,012","287,087","9,600","744,756","14,334","63,491","1,521","1,610","671,836","57,498","34,730","367,366","664,053",113,"403,605","431,360","28,272","6,720,961","1,716,107","830,296","565,797","762,060","8,510","213,236","2,386,101","901,677","580,978","331,080","766,171","249,030","1,498","86,823","66,495","275,757","141,323","548,833","1,028","71,358","72,860","2,779","282,169","44,909","116,664","15,930","1,154,030",668,"74,245","99,612","6,532",470,"23,287","117,381",1,"10,766,358","18,155","18,508","19,415","57,673","15,427","2,353,029","85,921","215,613","4,322",626,"359,816","740,915","3,731","540,942","254,830","8,046","472,238","5,233","2,475","154,432","5,127","2,536,141","2,530","117,059","3,142","53,717","759,279","3,532,861","2,810,842","1,468,657","1,626,698","5,723","1,808,196","205,046",344,"2,063,117","2,413,894","20,358","3,148","32,104","42,274",343,"54,189","81,828","2,835","17,022","88,664","228,409","864,539","8,785","65,376","145,152","22,649","266,047","84,180","2,032","263,887","518,293","8,737","824,377","906,145","84,413","432,419","225,477","2,301","256,903","467,098","641,595","26,208","254,211","520,161","14,927","42,299","1,918","45,857","312,918","564,845","2,581,091","10,760","1,214","1,501","98,966","1,448,337","75,602","3,797,105","83,658","1,428,983","2,157","143,879","116,356","6,723","356,043","1,869,772","7,424",53,"597,046","48,435","152,422"
2005,Middle-income countries,"3,309,623","76,944","28,580","2,449",45,"188,643",380,"1,619","164,482","770,990","1,095","46,877","42,329","1,385,647","1,006","42,132","3,827,644","2,264","1,220,864","23,952","4,129","388,178",55,"7,659","337,341","779,400","22,052","238,907",269,"33,679","500,006","1,231,894","9,976","9,094","396,886","54,516","52,215","1,130",76,"50,322","182,355",56,"257,652","609,810","123,000","16,944","833,041","4,421","31,390",56,"24,508","30,022","319,398","46,575",431,"13,934","22,835","71,336","374,938","11,038","1,480",658,"24,843","57,175","399,390","49,113","49,087","196,144","79,877","144,926",..,26,"2,307","8,720","118,928","1,035",..,"2,836",540,"720,964","769,120","241,273",66,"129,691",431,"1,252",197,898,"64,695","113,555","5,505","21,418","276,585",..,"45,497","35,084",531,"2,396,001","996,921","59,012","879,649","9,038",1,"103,845","349,966","3,005","138,096","102,748","2,952,755","19,893","2,545","39,440","586,721","618,178","129,955","57,333","136,065","130,012","25,062",126,"130,642",488,"1,970","43,408","225,965","1,089","555,983",696,99,614,"11,490","5,855",..,"49,663",185,469,"22,913","90,520",153,"19,692","235,184","1,572,533","54,492","1,272","765,940","52,464",274,"11,910","181,754","157,584","215,463",58,255,"20,549","12,931","1,318,369","1,255","14,811","1,244","491,151","225,558","165,516","96,453","273,939","12,687","12,037","224,945","510,882",166,"43,844","7,969,810","22,866",216,361,"1,166",85,"1,461","17,294",72,"12,297","86,963","91,687","63,122",646,"7,967","81,770",158,"7,512","35,683","1,014","551,646","53,389","64,881","293,872","230,193","2,963,258","79,135","3,677","38,147","13,087","32,976","219,760","490,277","205,128","111,392","80,068","260,106",152,"2,589","9,988","8,074","112,073","218,481",22,"1,328","323,184","4,119,107","29,439","316,847","55,603","843,722","1,092","152,983","1,635,026",527,"75,695","214,435",13,"131,035","33,822","39,504","266,388"
2005,Upper-middle-income countries,"2,190,493","76,357","6,209","2,430",45,"68,045",380,"1,500","130,250","698,744","1,038","24,470","39,963","887,022",920,"1,162","219,444","2,227","913,981","21,147","2,031","27,464",54,33,"336,597","779,233","21,560","203,395",269,"4,204","497,606","4,243","3,905",685,"377,245","28,542","42,482","1,113",10,245,"3,172",56,"252,534","228,711","122,505","16,944","828,609","3,630","20,239",56,"12,682","3,130","319,219","43,309",293,"13,504","22,375","63,131","25,402","9,703","1,157",656,"24,496","55,310","156,778","25,896","45,000","2,715","68,202","3,738",..,26,"1,302","7,877","83,636","1,018",..,336,114,"615,920","734,626","7,786",57,"126,399",132,"1,251",197,3,"52,085","2,982",937,"21,412","276,493",..,"17,898","33,536",482,"176,895","825,981","42,513","256,321","8,541",..,"16,862","336,145","2,953","105,422","33,530","2,670,176","10,612","1,955","11,104","541,811","540,519","108,036","43,082","135,897",376,"6,472",125,"101,024",474,"1,929","33,676","15,227",108,"28,918",693,1,614,490,"5,520",..,"24,181",185,398,"22,760","90,519",153,"9,237","223,250","1,271,604","53,353",22,"124,262","46,713",..,"8,749","163,567",329,"26,158",17,175,"7,648","1,736","51,314",..,"13,453",86,"487,605","214,551","152,280","87,425","262,347","12,326","1,244","202,689","348,989",166,"40,522","2,992,669","2,927",216,361,"1,166",85,"1,461","17,277",72,"4,270","41,271","18,256","63,010",616,609,"55,969",119,"7,400","35,675",681,"104,422","32,355","1,850","281,594","31,832","787,828","19,991","3,570","38,111","12,110","29,869","90,919","444,025","204,855","33,388",..,"11,888",152,"2,514","9,979","4,041","102,944","191,229",22,"1,033","3,897","3,851,043","3,082","224,747","8,209","714,337","1,014","152,276","1,381,844",373,"74,377","110,847",13,"131,035","22,993","38,413","253,840"
2005,Lower-middle-income countries,"1,119,130",587,"22,371",19,..,"120,598",..,119,"34,232","72,246",57,"22,407","2,366","498,625",86,"40,970","3,608,200",37,"306,883","2,805","2,098","360,714",1,"7,626",744,167,492,"35,512",..,"29,475","2,400","1,227,651","6,071","8,409","19,641","25,974","9,733",17,66,"50,077","179,183",..,"5,118","381,099",495,..,"4,432",791,"11,151",..,"11,826","26,892",179,"3,266",138,430,460,"8,205","349,536","1,335",323,2,347,"1,865","242,612","23,217","4,087","193,429","11,675","141,188",..,..,"1,005",843,"35,292",17,..,"2,500",426,"105,044","34,494","233,487",9,"3,292",299,1,..,895,"12,610","110,573","4,568",6,92,..,"27,599","1,548",49,"2,219,106","170,940","16,499","623,328",497,1,"86,983","13,821",52,"32,674","69,218","282,579","9,281",590,"28,336","44,910","77,659","21,919","14,251",168,"129,636","18,590",1,"29,618",14,41,"9,732","210,738",981,"527,065",3,98,..,"11,000",335,..,"25,482",..,71,153,1,..,"10,455","11,934","300,929","1,139","1,250","641,678","5,751",274,"3,161","18,187","157,255","189,305",41,80,"12,901","11,195","1,267,055","1,255","1,358","1,158","3,546","11,007","13,236","9,028","11,592",361,"10,793","22,256","161,893",..,"3,322","4,977,141","19,939",..,..,..,..,..,17,..,"8,027","45,692","73,431",112,30,"7,358","25,801",39,112,8,333,"447,224","21,034","63,031","12,278","198,361","2,175,430","59,144",107,36,977,"3,107","128,841","46,252",273,"78,004","80,068","248,218",..,75,9,"4,033","9,129","27,252",..,295,"319,287","268,064","26,357","92,100","47,394","129,385",78,707,"253,182",154,"1,318","103,588",..,..,"10,829","1,091","12,548"
2005,Low-income countries,..,..,"6,229",..,..,"263,989",..,..,743,..,..,167,296,..,..,..,720,..,..,665,..,"78,455",..,"108,240",..,..,"4,266","2,846",..,..,..,"60,701","590,267","6,626",..,"29,201","2,417",..,..,"64,869","13,318",..,532,"46,259",128,..,"1,322","9,602","52,509",..,437,"537,129",..,"2,296",..,8,..,160,"568,488",185,"2,740",..,"3,842",..,44,..,71,"5,777",..,"1,347",..,..,..,..,"45,823",..,..,"18,309","14,691",..,"3,954","87,814",..,42,..,..,..,..,..,"199,139","41,916",..,..,..,..,..,..,"532,461","1,124",..,..,12,..,..,"3,105",..,789,..,..,"75,198",..,..,..,..,..,"4,815","7,029","167,047","1,042",..,..,..,"10,142","165,268",164,..,"161,776",..,..,..,"63,956",181,..,489,..,..,..,..,..,"3,463","238,569",..,571,..,..,392,..,..,..,"119,736","95,291",..,..,..,..,"41,984",..,..,..,..,962,"2,214",..,"6,696","2,468",..,"5,205",..,898,..,"1,321","243,865",..,..,..,..,..,..,..,111,"1,482","141,291",..,345,"73,998",..,..,..,50,..,"334,950","46,256","169,457","2,768",212,..,"663,464",..,83,502,835,20,"28,460",..,440,..,"62,614",..,..,..,..,8,..,..,..,"135,336",50,..,"24,533","99,620","10,519",..,458,"1,422",..,"4,007",682,..,..,107,"90,118","60,025"
