Year,Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2005,WORLD,"1,718,361","448,210","759,218","1,291","2,998","344,536","1,503","20,438","412,118","412,783","7,269","227,425","265,579","694,606","19,709","25,115","2,292,586","49,439","899,129","235,451","29,604","217,683","7,534","57,735","278,269","771,347","12,396","692,420","3,265","18,163","482,465","576,416","231,406","75,335","353,860","108,969","732,880","3,253",691,"69,790","96,603","7,665","280,301","3,748,159","395,430","59,687","1,023,223","46,308","82,499","10,038","67,490","351,470","438,474","607,085","34,297","77,551","337,710","42,328","513,021","118,743","5,761","35,285","589,734","508,467","655,451","550,438","36,278","141,627","82,509","238,578","7,319",628,"81,518","180,512","875,130","2,229","1,379","20,744","22,838","431,805","1,887,159","280,475","4,902","420,732","8,664","35,840","5,349","1,288","361,344","159,701","37,550","208,067","453,636",57,"253,236","237,778","14,571","3,813,513","1,227,258","396,500","653,257","428,103","4,311","155,320","1,303,043","503,161","378,335","160,972","1,983,005","179,447","2,090","51,893","337,140","474,344","149,295","258,508","65,536","188,004","46,506","1,612","232,893","23,315","83,608","94,793","748,821",923,"345,409","50,453","3,312","7,824","38,182","68,847","3,332","4,939,920","9,125","9,463","22,590","77,858","8,728","1,056,733","231,134","808,667","29,670",949,"499,525","397,051","2,791","274,567","226,400","112,091","359,254","2,711","1,381","97,181","8,410","1,508,762","1,961","66,288","2,239","306,736","541,638","2,086,871","1,588,183","846,751","930,173","8,535","1,035,606","374,715","1,472","1,119,228","5,929,497","145,049","2,081","18,421","26,450",208,"29,085","50,386","1,609","15,748","73,165","182,112","452,609","5,788","73,141","118,939","11,739","144,258","66,963","1,552","531,859","313,789","109,339","606,991","514,022","1,481,929","525,185","135,306","17,933","150,302","266,051","351,112","234,016","230,184","400,953","44,715","178,541","1,038","24,558","183,675","247,255","1,275,735","118,220",706,"1,443","279,907","3,007,398","47,903","2,053,706","118,277","1,136,481","1,631","151,670","863,515","3,601","242,869","1,015,693","3,737","59,194","217,635","92,573","210,195"
2005,More developed regions,"127,492","445,965","721,921",380,"2,980","117,414",545,"15,530","269,934","304,066","4,180","197,692","248,736","417,025","18,852","3,995","200,178","46,641","825,166","220,879","27,200","10,478","7,474",876,"101,121","769,897","2,323","553,176",243,"5,707","218,738","7,815","8,577","67,388","141,771","68,955","692,137","2,305",650,"8,176","3,801","7,619","146,252","1,963,409","310,028","10,121","568,054","15,480","40,936","10,002","53,795","64,024","436,702","573,258","31,601","70,643","333,411","11,511","68,587","113,267","4,172","23,824","521,788","470,845","170,210","521,437","11,335","37,413","80,818","107,387","7,318",614,"80,327","177,634","655,910",30,378,"10,744","15,234","359,616","1,568,152","124,293","4,872","370,570","8,430","27,554",222,21,"328,859","23,777","13,330","183,618","320,180",56,"227,307","226,024","14,419","1,363,010","203,010","344,524","203,945","422,872","4,311","103,025","1,137,844","487,551","297,849","34,553","1,933,674","127,166",832,"24,371","321,574","135,636","144,220","198,694",588,"34,405","25,661","1,568","223,876","23,109","67,105","8,175","144,461",381,"24,922","50,276","3,094",188,"6,472","63,665",..,"4,911,391","3,544","9,336","18,801","77,733","7,334","959,368","45,373","42,220","2,367",303,"34,199","362,859",822,"265,162","131,202","3,307","222,080","2,677",86,"87,943","2,276","453,929",27,"58,158","1,620","32,386","369,032","1,598,133","1,515,370","714,726","918,333","2,058","935,334","354,267",192,"1,036,376","3,775,433","10,750","1,746","11,882","18,992",170,"19,540","41,802","1,604","9,283","36,915","79,552","450,197","5,285","30,264","73,633","11,268","143,823","66,114","1,112","129,772","255,981",..,"446,463","251,649","20,445","39,696","120,537","1,240","143,671","250,402","89,626","205,905","155,259","311,950","7,186","17,834",962,"23,156","175,011","226,795","1,218,695","113,089",137,947,"51,941","2,654,549","15,430","1,839,498","41,602","525,583",106,"70,215","665,069","1,099","195,845","907,858",9,62,"22,535","25,815","81,053"
2005,Less developed regions,"1,590,869","2,245","37,297",911,18,"227,122",958,"4,908","142,184","108,717","3,089","29,733","16,843","277,581",857,"21,120","2,092,408","2,798","73,963","14,572","2,404","207,205",60,"56,859","177,148","1,450","10,073","139,244","3,022","12,456","263,727","568,601","222,829","7,947","212,089","40,014","40,743",948,41,"61,614","92,802",46,"134,049","1,784,750","85,402","49,566","455,169","30,828","41,563",36,"13,695","287,446","1,772","33,827","2,696","6,908","4,299","30,817","444,434","5,476","1,589","11,461","67,946","37,622","485,241","29,001","24,943","104,214","1,691","131,191",1,14,"1,191","2,878","219,220","2,199","1,001","10,000","7,604","72,189","319,007","156,182",30,"50,162",234,"8,286","5,127","1,267","32,485","135,924","24,220","24,449","133,456",1,"25,929","11,754",152,"2,450,503","1,024,248","51,976","449,312","5,231",..,"52,295","165,199","15,610","80,486","126,419","49,331","52,281","1,258","27,522","15,566","338,708","5,075","59,814","64,948","153,599","20,845",44,"9,017",206,"16,503","86,618","604,360",542,"320,487",177,218,"7,636","31,710","5,182","3,332","28,529","5,581",127,"3,789",125,"1,394","97,365","185,761","766,447","27,303",646,"465,326","34,192","1,969","9,405","95,198","108,784","137,174",34,"1,295","9,238","6,134","1,054,833","1,934","8,130",619,"274,350","172,606","488,738","72,813","132,025","11,840","6,477","100,272","20,448","1,280","82,852","2,154,064","134,299",335,"6,539","7,458",38,"9,545","8,584",5,"6,465","36,250","102,560","2,412",503,"42,877","45,306",471,435,849,440,"402,087","57,808","109,339","160,528","262,373","1,461,484","485,489","14,769","16,693","6,631","15,649","261,486","28,111","74,925","89,003","37,529","160,707",76,"1,402","8,664","20,460","57,040","5,131",569,496,"227,966","352,849","32,473","214,208","76,675","610,898","1,525","81,455","198,446","2,502","47,024","107,835","3,728","59,132","195,100","66,758","129,142"
2005,Least developed countries,..,..,"4,266",..,..,"186,367",..,..,333,..,..,889,51,..,..,"11,312",790,..,..,341,..,"40,174",..,"53,208",..,..,297,"6,095",..,..,..,"27,580","219,820","7,428","7,912","15,864","1,140",..,..,"45,436","45,115",..,183,"99,652",74,..,628,"4,156","30,289",..,259,"272,413",..,"1,025",..,5,..,62,"319,560",104,"1,157",..,"1,633",..,"16,264",..,160,"98,703",..,"58,924",..,..,369,..,"22,306",..,..,"8,902","7,355",..,"1,826","46,819",..,22,..,..,..,..,..,"85,245","22,173",..,..,..,..,..,..,"405,785","59,874",..,"3,114",7,..,..,922,..,"5,611",..,..,"45,056",326,16,..,"33,238",..,"1,981","3,977","88,474","1,910",..,..,..,"5,454","35,171","87,762",..,"86,326",..,..,..,"28,640",68,..,269,..,..,..,..,..,"1,960","45,727","123,486",656,630,"11,726",198,136,272,..,"52,856","54,275",..,..,"5,367",..,"19,329",..,..,399,..,220,504,..,"6,459","1,298",..,374,..,423,..,602,"127,564",..,..,..,..,..,3,..,"2,891",850,"86,506",..,137,"39,432","3,931",..,..,22,37,"237,711","18,616","76,484","1,054",94,"1,621","351,803",..,45,188,326,"1,282","12,396",..,"28,583",..,"38,384",..,13,..,111,6,..,..,138,"78,711",16,32,"15,426","53,176","22,160",..,268,619,17,"1,825","44,201",..,..,150,"34,873","40,100"
2005,"Less developed regions, excluding least developed countries","1,590,869","2,245","33,031",911,18,"40,755",958,"4,908","141,851","108,717","3,089","28,844","16,792","277,581",857,"9,808","2,091,618","2,798","73,963","14,231","2,404","167,031",60,"3,651","177,148","1,450","9,776","133,149","3,022","12,456","263,727","541,021","3,009",519,"204,177","24,150","39,603",948,41,"16,178","47,687",46,"133,866","1,685,098","85,328","49,566","454,541","26,672","11,274",36,"13,436","15,033","1,772","32,802","2,696","6,903","4,299","30,755","124,874","5,372",432,"11,461","66,313","37,622","468,977","29,001","24,783","5,511","1,691","72,267",1,14,822,"2,878","196,914","2,199","1,001","1,098",249,"72,189","317,181","109,363",30,"50,140",234,"8,286","5,127","1,267","32,485","50,679","2,047","24,449","133,456",1,"25,929","11,754",152,"2,044,718","964,374","51,976","446,198","5,224",..,"52,295","164,277","15,610","74,875","126,419","49,331","7,225",932,"27,506","15,566","305,470","5,075","57,833","60,971","65,125","18,935",44,"9,017",206,"11,049","51,447","516,598",542,"234,161",177,218,"7,636","3,070","5,114","3,332","28,260","5,581",127,"3,789",125,"1,394","95,405","140,034","642,961","26,647",16,"453,600","33,994","1,833","9,133","95,198","55,928","82,899",34,"1,295","3,871","6,134","1,035,504","1,934","8,130",220,"274,350","172,386","488,234","72,813","125,566","10,542","6,477","99,898","20,448",857,"82,852","2,153,462","6,735",335,"6,539","7,458",38,"9,545","8,581",5,"3,574","35,400","16,054","2,412",366,"3,445","41,375",471,435,827,403,"164,376","39,192","32,855","159,474","262,279","1,459,863","133,686","14,769","16,648","6,443","15,323","260,204","15,715","74,925","60,420","37,529","122,323",76,"1,389","8,664","20,349","57,034","5,131",569,358,"149,255","352,833","32,441","198,782","23,499","588,738","1,525","81,187","197,827","2,485","45,199","63,634","3,728","59,132","194,950","31,885","89,042"
2005,High-income countries,"196,141","403,859","741,982",102,"2,983","117,311","1,075","18,928","333,135","64,750","4,797","207,034","244,400","30,779","19,106","5,194","482,810","48,001","212,466","223,217","27,385","10,379","7,514",867,"111,351","350,377","2,269","569,720","2,111","5,710","215,493","7,528","8,529","67,368","144,212","68,889","708,244","2,670",656,"8,136","6,071","7,627","148,939","3,445,645","346,162","52,246","582,476","15,458","40,820","10,003","54,363","64,000","264,073","583,125","32,922","70,181","325,548","8,554","68,843","113,546","4,175","31,295","565,245","479,760","525,310","522,034","11,307","41,381","40,286","168,542","7,319",615,"80,349","175,889","698,506",32,"1,310","10,740","15,230","90,310","1,493,423","124,267","4,870","352,927","8,432","35,144",785,813,"329,245","23,691","13,266","194,922","334,720",57,"228,323","218,625","14,369","2,365,757","796,256","369,593","243,528","423,446","4,311","99,570","1,134,791","500,657","315,264","114,546","407,290","127,311",830,"35,295","35,904","136,005","79,936","233,086",591,"34,405","35,020","1,568","162,093","23,041","67,386","8,173","643,778",354,"24,938","50,067","3,268",211,"6,472","63,783",..,"4,915,047","9,042","9,254","10,194","27,454","8,581","1,045,568","45,350","82,791","2,332",306,"100,241","368,869","1,993","267,620","131,855","3,309","224,768","2,680","1,259","87,495","2,282","861,641","1,301","58,990","1,622","33,517","427,684","2,001,582","1,535,999","715,635","922,359","2,793","939,521","118,457",193,"1,092,612","1,392,000","10,711","1,889","17,536","23,957",170,"28,180","41,798","1,575","9,287","40,722","79,521","417,826","5,288","30,264","79,077","11,556","140,188","45,236","1,112","132,089","266,823","3,014","459,089","390,738","33,262","152,408","121,394","1,241","143,747","250,555","265,726","13,532","118,176","346,231","7,186","17,842",961,"23,285","178,218","243,821","1,227,372","5,974",696,768,"51,924","825,359","33,693","1,886,750","41,599","726,092","1,123","73,849","58,652","3,255","201,343","922,162","3,730",22,"207,418","25,735","81,098"
2005,Middle-income countries,"1,522,220","44,351","13,325","1,189",15,"90,386",158,855,"78,625","348,033",565,"20,189","21,128","663,827",525,"19,921","1,809,247","1,106","686,663","11,590","2,219","167,355",20,"3,660","166,918","420,970","8,310","115,258",120,"12,453","266,972","541,308","4,941","4,659","209,648","24,366","23,064",583,35,"26,292","84,715",38,"131,124","280,563","49,153","7,441","438,292",653,"15,440",35,"12,868","15,196","174,401","21,609",240,"7,365","12,162","33,738","179,935","5,103",429,336,"15,723","28,707","130,117","28,404","24,944","97,810","42,223","69,402",..,13,"1,085","4,623","55,693",506,..,"1,237",253,"341,495","391,897","109,583",32,"67,783",232,685,100,475,"32,099","52,286","2,344","10,652","102,978",..,"24,913","19,153",202,"1,077,959","430,069","26,907","409,729","4,650",..,"55,750","167,078","1,447","62,610","46,426","1,575,715","10,045","1,260","16,598","301,236","337,900","69,359","22,961","60,968","65,125","10,932",44,"70,800",274,872,"11,087","104,963",569,"238,245",386,44,267,"2,973","2,746",..,"24,579",83,209,"12,396","50,404",74,"9,346","78,107","725,876","27,105",643,"399,284","24,043",136,"5,656","94,545","55,998","92,754",28,122,"9,682","6,128","628,909",660,"7,298",609,"273,219","113,327","83,894","52,184","127,793","6,471","5,742","93,479","256,258",150,"26,616","4,536,885","10,434",127,177,588,38,824,"8,522",34,"6,404","31,714","31,737","34,783",363,"3,445","39,862",90,"4,070","21,705",440,"230,960","24,576","29,841","146,856","123,125","1,448,667","31,120","1,829","16,666","6,375","15,076","85,175","208,088","112,008","54,463","37,529","122,390",77,"1,220","5,399","3,434","48,357","112,246",10,641,"162,163","2,182,023","14,210","155,241","26,001","404,648",187,"77,553","804,244",251,"38,847","93,231",7,"59,172","10,172","19,338","95,363"
2005,Upper-middle-income countries,"1,000,769","44,070","2,463","1,181",15,"29,569",158,793,"61,860","316,330",539,"11,610","20,027","386,478",478,384,"95,931","1,087","506,414","10,215","1,164","13,583",19,10,"166,583","420,892","8,015","98,332",120,"1,771","266,080","1,789","1,984",376,"200,726","13,871","18,593",575,3,93,"1,137",38,"128,667","102,427","48,937","7,441","436,255",514,"9,217",35,"6,958","1,009","174,335","20,184",172,"7,163","11,918","29,832","13,684","4,452",306,335,"15,570","27,865","47,922","13,273","22,843",935,"36,294","1,477",..,13,597,"4,223","39,130",497,..,142,57,"287,638","374,417","1,850",28,"66,029",83,685,100,1,"25,554",810,231,"10,650","102,942",..,"9,518","18,398",192,"73,727","344,682","19,208","107,594","4,419",..,"7,092","160,736","1,431","49,246","10,654","1,417,881","5,509",963,"2,644","277,360","302,252","58,270","16,475","60,830",231,"2,824",44,"55,633",266,866,"7,353","4,785",44,"10,352",385,..,267,120,"2,541",..,"12,196",83,174,"12,308","50,404",74,"4,212","74,249","570,493","26,506",13,"57,565","21,699",..,"4,514","85,560",65,"6,499",7,87,"3,736",464,"19,971",..,"6,637",49,"271,506","108,509","75,707","46,970","123,000","6,308",293,"84,378","168,349",150,"24,785","1,629,551","1,623",127,177,588,38,824,"8,513",34,"2,151","11,713","3,542","34,707",351,236,"27,905",71,"4,010","21,702",320,"32,541","13,004",503,"141,076","17,667","345,451","5,772","1,778","16,647","5,946","13,714","35,372","184,903","111,868","18,120",..,"5,994",77,"1,184","5,393","1,413","44,857","97,680",10,503,"1,646","2,031,040",985,"111,818","3,176","344,778",148,"77,256","675,641",174,"38,179","42,922",7,"59,172","6,161","18,759","88,987"
2005,Lower-middle-income countries,"521,451",281,"10,862",8,..,"60,817",..,62,"16,765","31,703",26,"8,579","1,101","277,349",47,"19,537","1,713,316",19,"180,249","1,375","1,055","153,772",1,"3,650",335,78,295,"16,926",..,"10,682",892,"539,519","2,957","4,283","8,922","10,495","4,471",8,32,"26,199","83,578",..,"2,457","178,136",216,..,"2,037",139,"6,223",..,"5,910","14,187",66,"1,425",68,202,244,"3,906","166,251",651,123,1,153,842,"82,195","15,131","2,101","96,875","5,929","67,925",..,..,488,400,"16,563",9,..,"1,095",196,"53,857","17,480","107,733",4,"1,754",149,..,..,474,"6,545","51,476","2,113",2,36,..,"15,395",755,10,"1,004,232","85,387","7,699","302,135",231,..,"48,658","6,342",16,"13,364","35,772","157,834","4,536",297,"13,954","23,876","35,648","11,089","6,486",138,"64,894","8,108",..,"15,167",8,6,"3,734","100,178",525,"227,893",1,44,..,"2,853",205,..,"12,383",..,35,88,..,..,"5,134","3,858","155,383",599,630,"341,719","2,344",136,"1,142","8,985","55,933","86,255",21,35,"5,946","5,664","608,938",660,661,560,"1,713","4,818","8,187","5,214","4,793",163,"5,449","9,101","87,909",..,"1,831","2,907,334","8,811",..,..,..,..,..,9,..,"4,253","20,001","28,195",76,12,"3,209","11,957",19,60,3,120,"198,419","11,572","29,338","5,780","105,458","1,103,216","25,348",51,19,429,"1,362","49,803","23,185",140,"36,343","37,529","116,396",..,36,6,"2,021","3,500","14,566",..,138,"160,517","150,983","13,225","43,423","22,825","59,870",39,297,"128,603",77,668,"50,309",..,..,"4,011",579,"6,376"
2005,Low-income countries,..,..,"3,707",..,..,"136,839",..,..,307,..,..,78,51,..,..,..,529,..,..,315,..,"39,949",..,"53,208",..,..,"1,817","1,420",..,..,..,"27,580","217,936","3,308",..,"15,714","1,098",..,..,"35,362","5,817",..,183,"21,229",45,..,628,"4,156","26,239",..,259,"272,274",..,968,..,5,..,36,"264,243",94,"1,157",..,"1,633",..,24,..,27,"2,436",..,634,..,..,..,..,"21,937",..,..,"8,767","7,355",..,"1,703","46,625",..,22,..,..,..,..,..,"83,460","21,506",..,..,..,..,..,..,"369,685",839,..,..,7,..,..,885,..,331,..,..,"42,091",..,..,..,..,..,"1,926","3,977","88,474",554,..,..,..,"5,454","75,533",80,..,"82,125",..,..,..,"28,640",68,..,269,..,..,..,..,..,"1,819","107,677",..,233,..,..,177,..,..,..,"52,784","41,732",..,..,..,..,"18,212",..,..,..,..,423,"1,395",..,"2,588","1,298",..,"2,606",..,423,..,612,"123,904",..,..,..,..,..,..,..,57,729,"70,284",..,137,"39,432",..,..,..,22,..,"168,810","22,345","76,484","1,022",159,..,"341,657",..,26,180,322,1,"12,396",..,259,..,"38,309",..,..,..,..,6,..,..,..,"65,820",16,..,"10,636","50,677","4,586",..,268,619,..,"1,825",300,..,..,45,"47,500","33,734"
