Year,Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2005,WORLD,2107894,516856,829505,1387,2764,335869,1555,17068,401492,487037,5767,200986,227487,752453,15044,27369,3472572,44202,684938,203191,22246,273192,7398,60125,266167,719514,18487,525813,2604,26648,426977,735933,385332,66676,318682,108646,454166,3114,577,61402,113416,7182,258758,3494147,409219,55710,857199,49833,83048,9535,51054,343595,396356,553567,33110,76387,270789,43906,566524,107135,6446,28812,434159,479550,1244597,568462,31395,147556,67998,282510,5211,470,75164,122398,818927,1642,1372,20294,34635,454190,1698183,335699,4764,453757,6101,28918,3759,1220,375187,211208,45358,185608,517997,56,195866,228666,14232,5836113,1487093,492808,792189,343007,4200,161761,1436704,403438,341785,272856,1735921,164674,1953,74370,316076,420439,121983,353753,78586,180413,52458,1293,179918,22082,64141,129813,631338,834,446875,49855,3319,6786,60959,58864,3139,5876624,9215,9514,19738,70335,7097,1319451,328541,979479,29715,949,626231,404610,2532,280952,210184,173275,423738,2593,1349,77807,9648,2387732,1824,65582,2161,238132,444560,1613720,1319112,903951,711757,9225,1002740,341213,1057,987733,4455528,142040,1436,15504,20531,220,26723,48859,1298,13682,103944,280586,475052,3988,74200,107983,11368,129301,52950,1494,618624,304237,133736,514075,622528,1565742,649833,116821,22598,120190,235040,510647,310929,229155,231040,50280,186478,1032,24000,139349,325664,1417437,111021,530,1484,277579,2560096,57138,2086935,120604,1148963,2140,145650,889289,3843,194411,1069196,3700,71894,413340,85484,268639
2005,More developed regions,175791,514480,794473,390,2730,110776,495,12997,256975,384041,3324,162366,210505,538548,14216,4280,253470,41317,621629,188458,20125,13988,7310,1103,86964,718030,2355,381919,220,5423,199508,12466,8067,58954,128800,65318,402728,2191,528,7923,4876,7157,129459,1823448,300511,9433,450165,15264,41170,9513,38606,63983,394399,517948,30198,70351,267308,12816,67078,101393,3815,19465,382164,443846,256347,547157,7248,37161,66716,112737,5210,456,73852,120040,579193,34,272,9154,27014,396954,1395080,162961,4727,406901,5903,22329,242,32,342219,34005,21600,163298,311588,55,174503,218764,13981,1522065,175178,439703,285714,338130,4199,118078,1255774,392239,252851,65813,1699453,121808,670,27304,301693,139489,117907,248298,431,36953,29969,1212,172554,21965,49034,7764,131565,348,49354,49731,3103,237,16817,53345,..,5847778,3551,9309,14210,70215,5742,1227815,40626,42428,2051,319,41487,365800,674,269516,122449,4723,241782,2552,78,67379,2852,557146,83,57258,1522,19362,292619,1038698,1259688,751841,700395,2512,865442,325240,150,924279,2709973,9706,1136,9713,14334,171,18677,40031,1275,7730,40281,148939,472790,3494,35109,61128,10771,128845,52118,920,126734,241273,2,353576,272782,25375,49775,103328,1056,113367,216635,117998,277889,162902,144456,7741,24449,957,22484,131949,304468,1342704,105506,115,870,47075,2266966,17633,1853427,42161,493569,100,66491,692660,967,149236,937981,5,63,26032,22963,71339
2005,Less developed regions,1932103,2376,35032,997,34,225093,1060,4071,144517,102996,2443,38620,16982,213905,828,23089,3219102,2885,63309,14733,2121,259204,88,59022,179203,1484,16132,143894,2384,21225,227469,723467,377265,7722,189882,43328,51438,923,49,53479,108540,25,129299,1670699,108708,46277,407034,34569,41878,22,12448,279612,1957,35619,2912,6036,3481,31090,499446,5742,2631,9347,51995,35704,988250,21305,24147,110395,1282,169773,1,14,1312,2358,239734,1608,1100,11140,7621,57236,303103,172738,37,46856,198,6589,3517,1188,32968,177203,23758,22310,206409,1,21363,9902,251,4314048,1311915,53105,506475,4877,1,43683,180930,11199,88934,207043,36468,42866,1283,47066,14383,280950,4076,105455,78155,143460,22489,81,7364,117,15107,122049,499773,486,397521,124,216,6549,44142,5519,3139,28846,5664,205,5528,120,1355,91636,287915,937051,27664,630,584744,38810,1858,11436,87735,168552,181956,41,1271,10428,6796,1830586,1741,8324,639,218770,151941,575022,59424,152110,11362,6713,137298,15973,907,63454,1745555,132334,300,5791,6197,49,8046,8828,23,5952,63663,131647,2262,494,39091,46855,597,456,832,574,491890,62964,133734,160499,349746,1540367,600058,13493,21542,6823,18405,392649,33040,66253,86584,42539,162029,75,1516,7400,21196,74733,5515,415,614,230504,293130,39505,233508,78443,655394,2040,79159,196629,2876,45175,131215,3695,71831,387308,62521,197300
2005,Least developed countries,..,..,3577,..,..,176657,..,..,476,..,..,950,245,..,..,13280,1137,..,..,384,..,38826,..,55032,..,..,258,7103,..,..,..,33121,374292,7263,9222,13791,1344,..,..,40204,49217,..,349,117220,105,..,694,5446,28555,..,178,265026,..,1378,..,3,..,164,360699,111,1583,..,2209,..,17627,..,121,99213,..,61871,..,..,407,..,24406,..,..,9833,7336,..,2417,41456,..,20,..,..,..,..,..,117186,20931,..,..,..,..,..,..,225794,69412,..,3712,5,..,..,2270,..,6782,..,..,36366,303,15,..,39040,..,2951,3052,78573,1945,..,..,..,4688,37187,103225,..,84373,..,..,..,35316,113,..,220,..,..,..,..,..,1842,48578,109559,761,620,13903,256,137,320,..,67029,67041,..,..,6302,..,26434,..,..,457,..,341,607,..,9805,1170,..,349,..,475,..,723,123701,..,..,..,..,..,13,..,2549,934,92991,..,208,34566,4661,..,..,28,38,265661,17464,92973,1798,81,1920,333155,..,74,332,528,1454,16064,..,29830,..,24369,..,14,..,134,2,..,..,157,83215,34,36,18295,51583,26600,..,190,803,21,2182,45047,..,..,175,25751,32436
2005,"Less developed regions, excluding least developed countries",1932103,2376,31455,997,34,48436,1060,4071,144041,102996,2443,37670,16737,213905,828,9809,3217965,2885,63309,14349,2121,220378,88,3990,179203,1484,15874,136791,2384,21225,227469,690346,2973,459,180660,29537,50094,923,49,13275,59323,25,128950,1553479,108603,46277,406340,29123,13323,22,12270,14586,1957,34241,2912,6033,3481,30926,138747,5631,1048,9347,49786,35704,970623,21305,24026,11182,1282,107902,1,14,905,2358,215328,1608,1100,1307,285,57236,300686,131282,37,46836,198,6589,3517,1188,32968,60017,2827,22310,206409,1,21363,9902,251,4088254,1242503,53105,502763,4872,1,43683,178660,11199,82152,207043,36468,6500,980,47051,14383,241910,4076,102504,75103,64887,20544,81,7364,117,10419,84862,396548,486,313148,124,216,6549,8826,5406,3139,28626,5664,205,5528,120,1355,89794,239337,827492,26903,10,570841,38554,1721,11116,87735,101523,114915,41,1271,4126,6796,1804152,1741,8324,182,218770,151600,574415,59424,142305,10192,6713,136949,15973,432,63454,1744832,8633,300,5791,6197,49,8046,8815,23,3403,62729,38656,2262,286,4525,42194,597,456,804,536,226229,45500,40761,158701,349665,1538447,266903,13493,21468,6491,17877,391195,16976,66253,56754,42539,137660,75,1502,7400,21062,74731,5515,415,457,147289,293096,39469,215213,26860,628794,2040,78969,195826,2855,42993,86168,3695,71831,387133,36770,164864
2005,High-income countries,320491,484263,811553,127,2734,110462,1034,15768,315150,64080,3838,174050,206041,30633,14493,5158,1453984,42896,150737,190172,20336,13863,7363,1094,95744,361084,2296,394649,1627,5422,193943,12226,7966,58923,131444,65009,423296,2567,536,7865,8275,7164,131805,3139133,335162,46207,460925,15237,40828,9514,39236,63914,251359,526557,31654,69815,260116,6184,67276,101109,3812,25886,419113,451082,975304,547753,7208,45881,30344,206273,5211,457,73872,118301,629401,39,1319,9153,27012,74721,1318589,162820,4730,391829,5902,28347,736,797,342591,33807,21464,172444,329333,56,175282,212735,13903,4355204,919851,460703,322269,338614,4199,113666,1251310,401020,265714,216534,358881,121719,668,51528,30591,139752,61387,315747,437,36953,37840,1211,120076,21868,49278,7757,510252,314,49307,49545,3264,259,16815,53598,1,5851311,9113,9254,9221,30219,6846,1307461,40571,132822,1990,320,259575,372046,1738,273322,122975,4737,247470,2553,1216,66937,2845,1674500,1229,58069,1520,20200,331595,1531279,1274843,753022,704339,2930,868675,86589,151,970505,1021894,9647,1259,14568,18317,173,26009,40030,1260,7735,47942,148888,446713,3497,35112,66075,11093,125859,38944,920,131798,251470,5723,365288,515407,51151,280011,104083,1060,113156,216543,375869,12676,136035,173930,7741,24457,957,22572,134700,321024,1353719,4786,518,733,47042,622978,41909,1910355,42059,702891,1034,70030,57704,3468,154700,947610,3694,31,389628,22700,71324
2005,Middle-income countries,1787403,32593,15255,1260,30,98257,222,764,85857,422957,530,26688,21201,721820,481,22211,2018397,1158,534201,12362,1910,220823,35,3999,170423,358430,13742,123649,149,21226,233034,690586,5035,4435,187238,30150,29151,547,41,24030,97640,18,126528,329247,73847,9503,394749,3768,15950,21,11640,14826,144997,24966,191,6569,10673,37598,195003,5935,1051,322,9120,28468,269273,20709,24143,98334,37654,75524,..,13,1222,4097,63235,529,..,1599,287,379469,377223,131690,34,61908,199,567,97,423,32596,61269,3161,10766,173607,..,20584,15931,329,1318042,566852,32105,469920,4388,1,48095,182888,1558,75486,56322,1377040,9848,1285,22842,285485,280278,60596,34372,75097,64887,14130,82,59842,214,1098,32321,121002,520,317738,310,55,347,8517,3109,..,25084,102,260,10517,40116,79,10346,157078,846657,27387,629,366656,28421,138,6254,87209,101586,122709,30,133,10867,6803,689460,595,7513,635,217932,112231,81622,44269,146146,6216,6295,131466,254624,16,17228,3432925,12432,89,184,578,47,637,8772,38,5893,55249,59950,28339,283,4522,41908,68,3442,13978,574,320686,28813,35040,147016,107068,1514591,48015,1848,21481,6712,17900,134585,282189,93120,56929,42539,137716,75,1369,4589,4640,63716,106235,12,687,161021,1937084,15229,161606,29602,439074,905,75430,830782,276,36848,121204,6,71863,23650,20166,171024
2005,Upper-middle-income countries,1189724,32287,3746,1249,30,38476,222,707,68390,382414,499,12860,19936,500544,442,778,123513,1140,407567,10932,867,13881,35,23,170014,358341,13545,105063,149,2433,231526,2454,1921,309,176519,14671,23889,538,7,152,2035,18,123867,126284,73568,9503,392354,3116,11022,21,5724,2121,144884,23125,121,6341,10457,33299,11718,5251,851,321,8926,27445,108856,12623,22157,1780,31908,2261,..,13,705,3654,44506,521,..,194,57,328282,360209,5936,29,60370,49,566,97,2,26531,2172,706,10762,173551,..,8380,15138,290,103168,481299,23305,148727,4122,..,9770,175409,1522,56176,22876,1252295,5103,992,8460,264451,238267,49766,26607,75067,145,3648,81,45391,208,1063,26323,10442,64,18566,308,1,347,370,2979,..,11985,102,224,10452,40115,79,5025,149002,701111,26847,9,66697,25014,..,4235,78007,264,19659,10,88,3912,1272,31343,..,6816,37,216099,106042,76573,40455,139347,6018,951,118311,180640,16,15737,1363118,1304,89,184,578,47,637,8764,38,2119,29558,14714,28303,265,373,28064,48,3390,13973,361,71881,19351,1347,140518,14165,442377,14219,1792,21464,6164,16155,55547,259122,92987,15268,..,5894,75,1330,4586,2628,58087,93549,12,530,2251,1820003,2097,112929,5033,369559,866,75020,706203,199,36198,67925,6,71863,16832,19654,164852
2005,Lower-middle-income countries,597679,306,11509,11,..,59781,..,57,17467,40543,31,13828,1265,221276,39,21433,1894884,18,126634,1430,1043,206942,..,3976,409,89,197,18586,..,18793,1508,688132,3114,4126,10719,15479,5262,9,34,23878,95605,..,2661,202963,279,..,2395,652,4928,..,5916,12705,113,1841,70,228,216,4299,183285,684,200,1,194,1023,160417,8086,1986,96554,5746,73263,..,..,517,443,18729,8,..,1405,230,51187,17014,125754,5,1538,150,1,..,421,6065,59097,2455,4,56,..,12204,793,39,1214874,85553,8800,321193,266,1,38325,7479,36,19310,33446,124745,4745,293,14382,21034,42011,10830,7765,30,64742,10482,1,14451,6,35,5998,110560,456,299172,2,54,..,8147,130,..,13099,..,36,65,1,..,5321,8076,145546,540,620,299959,3407,138,2019,9202,101322,103050,20,45,6955,5531,658117,595,697,598,1833,6189,5049,3814,6799,198,5344,13155,73984,..,1491,2069807,11128,..,..,..,..,..,8,..,3774,25691,45236,36,18,4149,13844,20,52,5,213,248805,9462,33693,6498,92903,1072214,33796,56,17,548,1745,79038,23067,133,41661,42539,131822,..,39,3,2012,5629,12686,..,157,158770,117081,13132,48677,24569,69515,39,410,124579,77,650,53279,..,..,6818,512,6172
2005,Low-income countries,..,..,2522,..,..,127150,..,..,436,..,..,89,245,..,..,..,191,..,..,350,..,38506,..,55032,..,..,2449,1426,..,..,..,33121,372331,3318,..,13487,1319,..,..,29507,7501,..,349,25030,83,..,694,5446,26270,..,178,264855,..,1328,..,3,..,124,304245,91,1583,..,2209,..,20,..,44,3341,..,713,..,..,..,..,23886,..,..,9542,7336,..,2251,41189,..,20,..,..,..,..,..,115679,20410,..,..,..,..,..,..,162776,285,..,..,5,..,..,2220,..,458,..,..,33107,..,..,..,..,..,2889,3052,78573,488,..,..,..,4688,89735,84,..,79651,..,..,..,35316,113,..,220,..,..,..,..,..,1644,130892,..,338,..,..,215,..,..,..,66952,53559,..,..,..,..,23772,..,..,..,..,539,819,..,4108,1170,..,2599,..,475,..,709,119961,..,..,..,..,..,..,..,54,753,71007,..,208,34566,..,..,..,28,..,166140,23911,92973,1746,53,..,321807,..,57,322,513,19,16064,..,181,..,24305,..,..,..,..,2,..,..,..,69516,34,..,13897,48943,5933,..,190,803,..,2182,382,..,..,62,42618,26291
